Doc Number,Corp Name,Filing Type,Status,Address,City,State,Zip,File Date,FEI Number,Registered Agent,RA City,RA State,Officers,Source File
L26000175100,TECHFINLENS LLC,FLAL,A,7901 4TH ST N STE 300,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,,20260403_corporate.txt
L26000175120,MCLEOD INVESTMENTS LLC,FLAL,A,7901 4TH ST N STE 300,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,,20260403_corporate.txt
L26000175210,ANSER PROPERTY LLC,FLAL,A,225 E ROBINSON STREET SUITE 220,ORLANDO,,32801,03262026,,CORPORATE AGENT ALLIANCE LLC,ORLANDO,FL,MGR: DELBEN SILVA        ANDRE PAULO | MGR: PEDREIRA MAGALHAES  VICTOR | MGR: REBOUCAS DE MELO    RAFAEL,20260403_corporate.txt
L26000175230,PINECREST PROPERTY 295 LLC,FLAL,A,295 SW 4TH AVE,POMPANO BEACH,,33060,03302026,,SCARIA              SHIBU,PARKLAND,FL,MGR: SCARIA              SHIBU,20260403_corporate.txt
L26000175240,FREDERICI GLADII PROPERTY LLC,FLAL,A,225 E ROBINSON STREET STE 220,ORLANDO,,32801,03262026,,CORPORATE AGENT ALLIANCE LLC,ORLANDO,FL,MGR: DELBEN SILVA        ANDRE PAULO | MGR: REBOUCAS DE MELO    RAFAEL | MGR: PEDREIRA MAGALHAES  VICTOR,20260403_corporate.txt
L26000175260,ZALDIVAR CONSTRUCTION LLC,FLAL,A,6204 REGIMEN DR,JACKSONVILLE,,32277,03252026,,ZALDIVAR HERNANDEZ  YORDANIS,JACKSONVILLE,FL,P: ZALDIVAR HERNANDEZ  YORDANIS,20260403_corporate.txt
L26000175310,SOLIS PONIATOVII PROPERTY LLC,FLAL,A,225 E ROBINSON STREET STE 220,ORLANDO,,32801,03262026,,CORPORATE AGENT ALLIANCE LLC,ORLANDO,FL,MGR: DELBEN SILVA        ANDRE PAULO | MGR: REBOUCAS DE MELO    RAFAEL | MGR: PEDREIRA MAGALHAES  VICTOR,20260403_corporate.txt
L26000175350,REDDY CREATIVE CLEANING SERVICE LLC,FLAL,A,6625 ARGYLE FOREST BLVD SUITE 4 PMB 3225,JACKSONVILLE,,32244,03262026,,HINES               KATRELL       L,JACKSONVILLE,FL,MGR: HINES               KATRELL       L,20260403_corporate.txt
L26000175380,REFRESH CONSULTING AND SERVICES LLC,FLAL,A,17155 PRADO BLVD,LOXAHATCHEE,,33470,03262026,,RODRIGUEZ           ISAAC,LOXAHATCHEE,FL,MGR: RODRIGUEZ           ISAAC | AP: RODRIGUEZ           AVETEI,20260403_corporate.txt
L26000175390,HENRY CLEANING SOLUTIONS LLC,FLAL,A,2070 ONEIDA COURT,DELTONA,,32738,03262026,,SCOTT AND ASSOCIATES ACCOUNTING FIRM INC,APOPKA,FL,MGR: HENRY               DENA,20260403_corporate.txt
L26000175410,PALM & PINE INVESTMENTS LLC,FLAL,A,706 STONEWOOD CT 18C,JUPITER,,33458,03262026,,KARWOSKI            JESSICA,JUPITER,FL,AR: KARWOSKI            JESSICA,20260403_corporate.txt
P26000017400,SUNNY ACRE DEVELOPMENT CORP.,DOMP,A,5600 NORTH FEDERAL HIGHWAY,FORT LAUDERAL,,33308,04012026,,LYNN                MARK          JESQ,FORT LAUDERDALE,FL,PRES: FIDEI               NICHOLAS,20260403_corporate.txt
L26000175420,SE INVESTMENTS MANAGER LLC,FLAL,A,2108 SW 23RD TER,MIAMI,,33145,03192026,,PEREZ               ESTEBAN,MIAMI,FL,MGR: PEREZ               ESTEBAN,20260403_corporate.txt
