doc_number,corp_name,status,filing_type,address_1,address_2,city,state,zip_code,file_date,fei_number,registered_agent,ra_city,ra_state,email_1,email_1_score,email_2,email_2_score,email_3,email_3_score,website_found
L26000175100,TECHFINLENS LLC,A,FLAL,7901 4TH ST N STE 300,,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,support@yourmembership.com,MEDIUM,blog-generic-thumb-green@3x.jpg,LOW,subash@techfinlens.ai,LOW,https://www.techfinlens.ai
L26000175380,REFRESH CONSULTING AND SERVICES LLC,A,FLAL,17155 PRADO BLVD,,LOXAHATCHEE,,33470,03262026,,RODRIGUEZ           ISAAC,LOXAHATCHEE,FL,info@lrecd.org,HIGH,babaroa@rivierabeach.org,LOW,rmurray@rivierabeach.org,LOW,https://loxahatcheeriver.org
L26000175390,HENRY CLEANING SOLUTIONS LLC,A,FLAL,2070 ONEIDA COURT,,DELTONA,,32738,03262026,,SCOTT AND ASSOCIATES ACCOUNTING FIRM INC,APOPKA,FL,u003epublicrelations@homeadvisor.com,LOW,google-play-badge-60@2x.png,LOW,u003epartnerships@homeadvisor.com,LOW,https://arsolarcleaning.com
P26000017400,SUNNY ACRE DEVELOPMENT CORP.,A,DOMP,5600 NORTH FEDERAL HIGHWAY,,FORT LAUDERAL,,33308,04012026,,LYNN                MARK          JESQ,FORT LAUDERDALE,FL,support@wordtune.com,MEDIUM,vetted-ai@vetted.ai,LOW,modest@guitar.com,LOW,https://www.floridanegocio.com
L26000175500,MIPTAG ATHLETECH MANUFACTURING LLC,A,FLAL,66 WEST FLAGLER STREET,SUIT 900,MIAMI,,33130,03262026,,ZENBUSINESS INC.,TALLAHASSEE,FL,support@athletech.co,MEDIUM,miami@oztag.com,LOW,,,https://athletech.co
L26000175530,LAGUERRE CONSULTING GROUP LLC,A,FLAL,1015 NW 7TH ST,,BOYNTON BEACH,,33426,03262026,,LAGUERRE            LENNY,BOYNTON BEACH,FL,info@intelligencesquared.com,HIGH,updates@em.sothebys.com,LOW,editorialstaff@flipboard.com,LOW,https://jmail.world
P26000017480,JCM IMPROVEMENT AND SOLUTIONS INC,A,DOMP,2271 NW,159 AVE,PEMBROKE PINES,,33028,03272026,,MARIN               JUAN CARLOS,PEMBROKE PINES,FL,,,,,,,https://www.trulia.com
L26000175570,THE 90TH REFERRAL NETWORK LLC,A,FLAL,7284 W. PALMETTO PARK RD.,#101,BOCA RATON,,33433,03262026,,MOONILAL            LARRY,DEERFIELD BEACH,FL,info@inspirato.com,HIGH,u003einfo@inspirato.com,HIGH,partnerships@inspirato.com,LOW,https://lesserlawfirm.com
L26000175780,"NEXTWAVE VENDING SOLUTIONS, LLC",A,FLAL,2431 W 70TH ST,,HIALEAH,,33016,03252026,,INC AUTHORITY RA,ORLANDO,FL,support@nextwavevending.com,MEDIUM,,,,,https://nextwavevending.com
L26000175790,"STEVENSON DIGITAL, LLC",A,FLAL,933 W KALMIA DR,APT D2,LAKE PARK,,33403,03242026,,INC AUTHORITY RA,ORLANDO,FL,support@wordtune.com,MEDIUM,vetted-ai@vetted.ai,LOW,modest@guitar.com,LOW,https://chromewebstore.google.com
P26000017550,ALBA HOSPITALITY CONSULTING CORP.,A,DOMP,7350 SW 58TH CT APT 736,,SOUTH MIAMI,,33143,03302026,,"LEGALZOOM USCA, INC.",FORT LAUDERDALE,FL,info@intelligencesquared.com,HIGH,info@NewsChamber.com,HIGH,updates@em.sothebys.com,LOW,https://jmail.world
L26000175840,"POCKETHOUSE SYSTEMS, LLC",A,FLAL,1661 RINGLING BLVD,,SARASOTA,,34230,03252026,,INC AUTHORITY RA,ORLANDO,FL,contact@tempgmailer.com,HIGH,support@tempgmailer.com,MEDIUM,your@email.com,LOW,https://tempgmailer.com
L26000175880,"NEXT MOVE LOGISTICS SOLUTIONS, LLC",A,FLAL,2989 SIESTA VIEW DR.,,KISSIMMEE,,34744,03262026,,DE GRANDIS CLEMENTI EMMA,KISSIMMEE,FL,info@a1autotransport.com,HIGH,,,,,https://www.a1autotransport.com
L26000175890,"RAMUDDEN URBAN SOLUTIONS, LLC",A,FLAL,109 DINNERBELL ROAD,,BUTLER,,16002,03262026,,"URS AGENTS, LLC",TALLAHASSEE,FL,info@ramudden.us,HIGH,trafficmanagement@chevrontm.com,LOW,TrafficManagement@ChevronTM.com,LOW,https://www.chevrontm.com
L26000175910,J2Z TECH LLC,A,FLAL,3081 NW 20TH ST,,FORT LAUDERDALE,,33311,04012026,,HARDEN              JONATHAN      Z,FORT LAUDERDALE,FL,info@intelligencesquared.com,HIGH,updates@em.sothebys.com,LOW,editorialstaff@flipboard.com,LOW,https://jmail.world
L26000176060,"INDUSTRY FUSION PLATFORM A, LLC",A,FLAL,90 FORT WADE ROAD,SUITE 100,PONTE VEDRA,,32081,03262026,,MCCAFFERTY          HUGH          A,PONTE VEDRA,FL,support@wordtune.com,MEDIUM,vetted-ai@vetted.ai,LOW,modest@guitar.com,LOW,https://chromewebstore.google.com
L26000176070,"INDUSTRY FUSION PLATFORM, LLC",A,FLAL,90 FORT WADE ROAD,SUITE 100,PONTE VEDRA,,32081,03262026,,MCCAFFERTY          HUGH          A,PONTE VEDRA,FL,info@intelligencesquared.com,HIGH,support@atomicmail.io,MEDIUM,updates@em.sothebys.com,LOW,https://www.joinchargeback.com
L26000176200,GULF COAST MARINE SYSTEMS LLC,A,FLAL,7901 4TH ST N STE 300,,ST. PETERSBURG,,33702,03262026,,REGISTERED AGENTS INC,ST. PETERSBURG,FL,info@k2marinesystems.com,HIGH,office@daphne.od.ua,HIGH,ukraine@uniteammarine.com,LOW,https://k2marinesystems.com
L26000176210,"TAQ SOLUTIONS, LLC",A,FLAL,5981 WESTAFALL RD,,GREENACRES,,33463,03262026,,"AFFIX TAX SOLUTIONS, LLC",LAKE WORTH,FL,contact@tempgmailer.com,HIGH,support@tempgmailer.com,MEDIUM,your@email.com,LOW,https://en.wikipedia.org
L26000176230,"NEVERMISS AI, LLC",A,FLAL,50 N. LAURA STREET,SUITE 2500,JACKSONVILLE,,32202,03262026,,BUCHANAN            STEVEN         JR,JACKSONVILLE,FL,rayhanmahmood@nevermisshq.com,LOW,you@domain.com,LOW,,,https://nevermisshq.com
L26000176390,BLUTEK SYSTEMS LLC,A,FLAL,5864 SW 74TH TER APT C,,MIAMI,,33143,04022026,415285114,PEREZ               IBRAHIN,MIAMI,FL,janelle@blutek-water.com,LOW,,,,,https://powersupplycompanies.com
L26000176590,JT VENTURES DIGITAL LLC,A,FLAL,6022 WESTGATE DR,AP 103,ORLANDO,,32835,03262026,,COSTA               JULIANA,ORLANDO,FL,info@jtempreintedigital.com,HIGH,info@jtedigitalllc.com,HIGH,nexus@jtventures.eu,LOW,https://www.jtventures.eu
L26000176600,GB QUALITY ELECTRICAL SOLUTIONS LLC,A,FLAL,3321 SILVERPOND DR,,PLANT CITY,,33566,03262026,,CONTRERAS           GAMALIEL,PLANT CITY,FL,info@electricalsolutionsllc.com,HIGH,,,,,https://americanoelectrical.com
L26000176610,KJW LAUNDRY SOLUTIONS LLC,A,FLAL,4850 CEDAR BAY,,KISSIMMEE,,34746,04262026,,PARIS INTEGRATED SERVICES LLC,KISSIMMEE,FL,support@wordtune.com,MEDIUM,vetted-ai@vetted.ai,LOW,modest@guitar.com,LOW,https://smailpro.com
L26000175091,PRAEX CYBER INTELLIGENCE LABS LLC,A,FLAL,7901 4TH ST N STE 300,,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,contact@tempgmailer.com,HIGH,support@tempgmailer.com,MEDIUM,your@email.com,LOW,https://tempgmailer.com
L26000175191,EVERGREEN SOLUTIONS OF CENTRAL FLORIDA LLC,A,FLAL,1070 MONTGOMERY RD,UNIT 330,ALTAMONTE SPRINGS,,32714,03262026,,MATEO CORTES        JOSE          LSR.,KISSIMMEE,FL,,,,,,,https://www.groupon.com
P26000017401,WOLF CONSULTING NETWORK INC.,A,DOMP,10155 CHERRY HILLS AVE CIR,,BRADENTON,,34202,03272026,,WOLF                MICHAEL       H,BRADENTON,FL,wolf_consulting@comcast.net,LOW,user@domain.com,LOW,,,https://www.city-data.com
P26000017451,MSPNTECHAI CORP.,A,DOMP,2410 OVERFALLS PL,,WESLEY CHAPEL,,33543,03272026,,"LEGALZOOM USCA, INC.",FORT LAUDERDALE,FL,support@realtor-help.invalid,MEDIUM,realtorrentals@move.com,LOW,customercare@realtor.com,LOW,https://www.wesleychapelnissan.com
L26000175631,WELLMIND TECHNOLOGY  LLC,A,FLAL,378 BLUE BAYOU LANE,,WINTER SPRINGS,,32708,03232026,,WALKER              SHAWNNA       D,WINTER SPRINGS,FL,contact@payhip.com,HIGH,,,,,https://wellmind.pnasoftware.com
P26000017551,1-2-3 LOPEZ HOME SOLUTIONS CORP,A,DOMP,15327 SW 58 TER,,MIAMI,,33193,04012026,,LOPEZ MEJIAS        MAYKELL,MIAMI,FL,info@indiantypefoundry.com,HIGH,,,,,https://truckingdatabase.com
L26000175871,METRIC ENGINEERING LLC,A,FLAL,13940 SW 136TH STREET SUITE 200,,MIAMI,,33186,04012026,,PEREZ               MARILEY,MIAMI,FL,,,,,,,
L26000175921,INTERMOBILE AMERICAS GROUP LLC,A,FLAL,2608 NW 72 AVE,,MIAMI,,33122,04032026,,MORENO              HILBIANE,MIAMI,FL,,,,,,,
L26000176001,REITOL SOLUTIONS LLC,A,FLAL,6017 WASHINGTON STREET,500,HOLLYWOOD,,33023,03262026,,ARRECHEA            ODALIS,HOLLYWOOD,FL,,,,,,,
L26000176091,"SELLER AI GROUP, LLC",A,FLAL,12470 NW 18TH CT,,MIAMI,,33167,03262026,,INC AUTHORITY RA,ORLANDO,FL,,,,,,,
L26000176151,ALR INNOVATIVE SOLUTIONS LLC,A,FLAL,7901 4TH STREET N SUITE 300,,ST PETERSBURG,,33702,03262026,,REGISTERED AGENTS INC,ST PETERSBURG,FL,,,,,,,
L26000176491,FINN DIGITAL LLC,A,FLAL,9472 SOUTHWEST 67TH LANE,,GAINESVILLE,,32608,03262026,,FINNEGAN            THOMAS,GAINESVILLE,FL,,,,,,,
L26000176551,CALI VITAL SOLUTIONS LLC,A,FLAL,7901 4TH ST N STE 300,,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,,,,,,,
L26000176651,"TOTAL PLAYER DEVELOPMENT, LLC",A,FLAL,5407 PENTAIL CIRCLE,,TAMPA,,33625,03262026,,NARANJO             JUAN          J,TAMPA,FL,,,,,,,
L26000176691,"VICTORIA'S HOUSE CAT CAY INVESTMENT PROPERTY UNIT 3B, LLC",A,FLAL,3525 NW 7TH ST,,MIAMI,,33125,03222026,,RUIZ                JOHN          H,MIAMI,FL,,,,,,,
L26000175322,FOXX TRAIL CONSULTING GROUP LLC,A,FLAL,1221 N.W. 91ST AVE,,PEMBROKE PINES,,33024,03302026,,CALIXTE             JILL          M,PEMBROKE PINES,FL,,,,,,,
P26000017412,VIA SERVICE NETWORKS INC.,A,DOMP,7901 4TH ST N STE 300,,ST. PETERSBURG,,33702,03272026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,,,,,,,
L26000175462,MAS PROFIX SOLUTIONS LLC,A,FLAL,10828 NW 2ND AVE,,MIAMI SHORES,,33168,03262026,,SCHELOTTO           NATALIA,MIAMI SHORES,FL,,,,,,,
L26000175492,2H CONSULTING LLC,A,FLAL,13481 NW 5TH CT,,PLANTATION,,33325,03262026,,HERNANDEZ           PAOLA,PLANTATION,FL,,,,,,,
L26000175592,"GOINES LEGAL SOLUTIONS, PLLC",A,FLAL,1511 TIGER TOOTH PL,,RUSKIN,,33570,03212026,,GOINES              TIFFANY,RUSKIN,FL,,,,,,,
L26000175612,"ASCERA DIGITAL, LLC",A,FLAL,2190 RESERVE PARK TRCE,UNIT 11,PORT ST. LUCIE,,34986,03262026,,GONZALEZ            IVAN          J,PORT ST. LUCIE,FL,,,,,,,
P26000017502,FOCUS CAPITAL & INFRASTRUCTURE CORP,A,DOMP,11440 NW 75 TERRACE,,MEDLEY,,33178,03252026,,PEREZ PARILLI       JORGE,MEDLEY,FL,,,,,,,
L26000175812,"BRITO HOME SOLUTIONS, LLC",A,FLAL,1240 N PINE ISLAND RD,APT 711,PLANTATION,,33324,03252026,,INC AUTHORITY RA,ORLANDO,FL,,,,,,,
L26000175912,"HIGH HEAT CONSULTING, LLC",A,FLAL,1600 E. 8TH AVENUE,SUITE A200,TAMPA,,33605,03262026,,RODRIGUEZ           LENNY          ESQ.,TAMPA,FL,,,,,,,
L26000176182,ANCHOR NETWORKING LLC,A,FLAL,2613 STONEGATE DRIVE,,TALLAHASSEE,,32308,04062026,,LOWE                DEAN,TALLAHASSEE,FL,,,,,,,
L26000176442,REVITI TECHNOLOGIES LLC,A,FLAL,334 VISTA OAK DR,,LONGWOOD,,32779,03262026,,"LEGALZOOM USCA, INC.",FORT LAUDERDALE,FL,,,,,,,
L26000176472,VELO AI LLC,A,FLAL,121 N FAIRFAX AVE,,WINTER SPRINGS,,32708,03262026,,HERRERA BURGOS      GABRIEL,WINTER SPRINGS,FL,,,,,,,
L26000176482,"SHORT CIRCUIT PISTONS TOO, LLC",A,FLAL,1637 SW 8TH STREET,SUITE 200,MIAMI,,33135,03262026,,FULLER              WILLIAM       O,MIAMI,FL,,,,,,,
L26000176542,MANY NORTE DIGITAL LLC,A,FLAL,2 S BISCAYNE BOULEVARD SUITE 3200 -6786,,MIAMI,,33131,04022026,,LUPA ENTERPRISES INC,MIAMI,FL,,,,,,,
L26000176562,"THE NETWORKING, LLC",A,FLAL,5973 NW 56TH PL,,TAMARAC,,33319,03262026,,LLOYD               DESMOND       D,TAMARAC,FL,,,,,,,
L26000176632,"WELLRUN AI, LLC",A,FLAL,5671 DELACROIX TERRACE,,PALM BEACH GARDENS,,33418,03262026,,COURTNEY            MATTHEW       R,PALM BEACH GARDENS,FL,,,,,,,
L26000176652,MCDONOUGH BUSINESS SOLUTIONS LLC,A,FLAL,8713 BOYSENBERRY DR,,TAMPA,,33635,03262026,,MCDONOUGH           NICHOLAS      J,TAMPA,FL,,,,,,,
L26000176672,TECHINSPECT SOLUTIONS LLC,A,FLAL,9635 RED LILY PLACE,,ORLANDO,,32827,03262026,,KISH                ABIGAIL       P,ORLANDO,FL,,,,,,,
L26000175103,SUMMIT TESTING SOLUTIONS LLC,A,FLAL,6930 40TH CT E,,ELLENTON,,34222,03262026,,SMITH               MARISSA       L,ELLENTON,FL,,,,,,,
L26000175113,MAG NUCLEAR CONSULTING LLC,A,FLAL,3216 LANDOVER BLVD,,SPRING HILL,,34609,03262026,,GRIDER              MARK,SPRING HILL,FL,,,,,,,
L26000175153,TERRASIGHT NETWORK LLC,A,FLAL,7901 4TH ST N STE 300,,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,,,,,,,
L26000175203,CANDACE SOLIZ CONSULTING LLC,A,FLAL,7901 4TH ST N STE 300,,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,,,,,,,
L26000175223,APEX PROPERTY SOLUTIONS & INSTALLATION LLC,A,FLAL,1130 18TH AVE N,1,LAKE WORTH BEACH,,33460,03262026,,DECHANTS            ANTHONY       J,LAKE WORTH BEACH,FL,,,,,,,
L26000175303,25TH ACRE REGENERATIVE INFRASTRUCTURE FUND LLC,A,FLAL,218 E BEARSS AVE #340,,TAMPA,,33613,03262026,,METZLER ADVISORY LLC,TAMPA,FL,,,,,,,
P26000017393,COMFORT-TECH AC INC,A,DOMP,2060 SW 90TH AVE UNIT C18,,DAVIE,,33324,04022026,,PALUMBO             STEPHEN       J,DAVIE,FL,,,,,,,
F26000001983,ASSETA AI INC.,A,FORP,"203 E. 8TH ST., 3F",,NEW YORK,,10128,04022026,,C T CORPORATION SYSTEM,PLANTATION,FL,,,,,,,
P26000017453,ZENTRIX SOLUTIONS INC,A,DOMP,3523 SW 6TH STREET,,MIAMI,,33135,03272026,,PILOTO RAMIREZ      MARLON,MIAMI,FL,,,,,,,
P26000017483,FUNDAMENTALS TI SYSTEMS CORP,A,DOMP,806 VERONA STREET,STE 1,KISSIMMEE,,34741,03272026,,AVROS CORPORATION,KISSIMMEE,FL,,,,,,,
L26000175673,BERRY BERRY FRUIT CO LLC,A,FLAL,8220 PATTERSON WOODS DR,4105,ORLANDO,,32821,03262026,,VU                  MAI,ORLANDO,FL,,,,,,,
L26000175953,BLUE WHALE SOLUTIONS LLC,A,FLAL,205 TALLADEGA LN,,POLK CITY,,33868,03262026,,DIAZ                JORGE,POLK CITY,FL,,,,,,,
P26000017563,DK GLOBAL SOLUTIONS CORP,A,DOMP,401 HIALEAH DR UNIT 331,,HIALEAH,,33010,04022026,415284461,MENDOZA             DAYANA        F,HIALEAH,FL,,,,,,,
L26000176463,SUNSHINE WAREHOUSE SYSTEMS LLC,A,FLAL,2413 MAIN ST.,STE 228,MIRAMAR,,33025,03262026,,"JA KISS HOLDINGS, INC",PLANTATION,FL,,,,,,,
L26000176513,MORENO LANDSCAPE SOLUTIONS LLC,A,FLAL,2409 S 70TH ST,,TAMPA,,33619,03262026,,MORENO              MIDELIS,TAMPA,FL,,,,,,,
L26000175194,FLORIDA PERMIT LLC,A,FLAL,1679 OAK PARK DR E,,CLEARWATER,,33764,03262026,,AHERN               COREY,CLEARWATER,FL,,,,,,,
L26000175224,SAVVY INNOVATIONS LLC,A,FLAL,4277 PURDY LANE,,WEST PALM BEACH,,33406,03262026,,REGISTERED AGENTS INC.,ST. PETERSBURG,FL,,,,,,,
L26000175234,HOMETEAM SPORTS CONSULTING  LLC,A,FLAL,131 SE 21ST ST,,GAINESVILLE,,32641,03262026,,CLEMENTS            ASHTON,GAINESVILLE,FL,,,,,,,
L26000175364,CALMIA CONSULTING LLC,A,FLAL,450 ALTON ROAD,APT 2310,MIAMI,,33139,03262026,,SIKACZOWSKI         NATALIA       S,MIAMI,FL,,,,,,,
L26000175384,AMARK TALENT SOLUTIONS LLC,A,FLAL,8903 GLADES ROAD,STE A8 #4113,BOCA RATON,,33434,03262026,,ZENBUSINESS INC.,TALLAHASSEE,FL,,,,,,,
P26000017434,"MACQUEEN ENGINEERING SOLUTIONS, INC",A,DOMP,1105 FREDRICK LANE,,BRANDON,,33511,04012026,,KEATON              KAREN         S,ST PETERSBURG,FL,,,,,,,
L26000175474,DONOVAN DOES IT ALL LLC,A,FLAL,11050 BRISTOL BAY DR APT 902,,BRADENTON,,34209,03262026,,DONOVAN             NICHOLAS,BRADENTON,FL,,,,,,,
L26000175514,2561 PALM AIRE LLC,A,FLAL,2651 S. PALM AIRE DR.,#105,POMPANO BEACH,,33069,03262026,,DE VARONA LAW,BOCA RATON,FL,,,,,,,
P26000017484,SKY WINGS AVIATION TECH CORP,A,DOMP,21787 SW 194 AVE,,MIAMI,,33170,03272026,,HASBUN ALVEZ        FUAD          A,MIAMI,FL,,,,,,,
